temp,hum,press,datetime
32.97715759277344,29.17320442199707,1014.5205078125,2020-11-21 02:08:35.882251
33.01554489135742,29.176664352416992,1014.524658203125,2020-11-21 02:08:37.884248
32.99635314941406,29.176664352416992,1014.521240234375,2020-11-21 02:08:39.884705
32.95796203613281,29.169742584228516,1014.508056640625,2020-11-21 02:08:41.885926
32.99635314941406,29.176664352416992,1014.5400390625,2020-11-21 02:08:43.888193
32.91957473754883,29.162822723388672,1014.485107421875,2020-11-21 02:08:45.890532
33.053932189941406,29.18358612060547,1014.52734375,2020-11-21 02:08:47.892380
32.90038299560547,29.162822723388672,1014.517822265625,2020-11-21 02:08:49.893754
33.01554489135742,29.176664352416992,1014.512939453125,2020-11-21 02:08:51.895106
32.97715759277344,29.17320442199707,1014.514404296875,2020-11-21 02:08:53.895733
